,day,susceptible,exposed,infected asymptomatic,infected symptomatic,recovered,dead
0,0,490,0,9,0,1,0
1,1,490,0,7,0,3,0
2,2,490,0,6,0,4,0
3,3,489,1,6,0,4,0
4,4,489,1,6,0,4,0
5,5,489,1,6,0,4,0
6,6,489,1,6,0,4,0
7,7,489,1,6,0,4,0
8,8,489,1,6,0,4,0
9,9,489,1,6,0,4,0
10,10,489,1,6,0,4,0
11,11,489,1,6,0,4,0
12,12,488,2,5,0,5,0
13,13,488,2,3,1,6,0
14,14,487,3,2,1,7,0
15,15,487,3,2,1,7,0
16,16,487,3,2,1,7,0
17,17,486,3,3,1,7,0
18,18,486,3,3,1,7,0
19,19,486,3,3,1,7,0
20,20,486,3,3,1,7,0
21,21,481,7,4,1,7,0
22,22,481,7,4,1,7,0
23,23,480,8,4,1,7,0
24,24,480,7,5,1,7,0
25,25,480,7,5,1,7,0
26,26,480,7,5,1,7,0
27,27,480,5,7,1,7,0
28,28,480,5,6,1,8,0
29,29,480,5,6,1,8,0
30,30,480,4,7,1,8,0
31,31,479,3,9,1,8,0
32,32,479,3,8,2,8,0
33,33,479,3,8,2,8,0
34,34,479,3,8,2,8,0
35,35,478,4,8,2,8,0
36,36,477,5,8,2,8,0
37,37,477,3,9,2,9,0
38,38,477,3,7,2,11,0
39,39,477,3,7,2,11,0
40,40,476,4,7,2,11,0
41,41,476,1,9,3,11,0
42,42,471,5,10,3,11,0
43,43,471,4,11,3,11,0
44,44,471,4,10,3,12,0
45,45,471,4,9,3,13,0
46,46,471,2,11,3,13,0
47,47,470,3,11,3,13,0
48,48,470,2,11,4,13,0
49,49,470,1,12,4,13,0
50,50,470,1,11,4,14,0
51,51,469,2,11,4,14,0
52,52,468,3,11,4,14,0
53,53,467,4,10,4,15,0
54,54,467,4,10,3,16,0
55,55,466,5,10,3,16,0
56,56,466,4,10,4,16,0
57,57,466,4,10,4,16,0
58,58,466,4,10,4,16,0
59,59,466,4,10,4,16,0
60,60,466,3,10,4,17,0
61,61,466,3,9,4,18,0
62,62,466,3,8,5,18,0
63,63,460,8,9,5,18,0
64,64,460,7,10,5,18,0
65,65,460,7,10,5,18,0
66,66,460,5,12,5,18,0
67,67,459,6,11,5,19,0
68,68,459,6,11,5,19,0
69,69,459,6,11,5,19,0
70,70,459,6,11,5,19,0
71,71,459,6,11,5,19,0
72,72,458,7,11,5,19,0
73,73,457,7,10,7,19,0
74,74,457,7,10,7,19,0
75,75,457,5,11,8,19,0
76,76,456,6,10,8,20,0
77,77,456,5,10,8,21,0
78,78,456,5,10,8,21,0
79,79,456,5,10,7,22,0
80,80,456,4,10,7,23,0
81,81,456,4,10,7,23,0
82,82,454,5,11,6,24,0
83,83,453,6,11,5,25,0
84,84,448,8,14,5,25,0
85,85,447,8,14,6,25,0
86,86,446,8,14,7,25,0
87,87,444,9,15,5,27,0
88,88,444,8,15,5,28,0
89,89,441,9,17,5,28,0
90,90,440,10,15,5,30,0
91,91,439,9,16,5,31,0
92,92,438,10,16,5,31,0
93,93,438,10,16,5,31,0
94,94,436,11,16,5,32,0
95,95,434,11,18,5,32,0
96,96,434,9,19,5,33,0
97,97,432,10,17,5,36,0
98,98,430,12,17,5,36,0
99,99,428,12,17,5,38,0
100,100,428,8,21,5,38,0
101,101,427,9,21,5,38,0
102,102,426,8,23,5,38,0
103,103,424,9,24,5,38,0
104,104,423,10,24,5,38,0
105,105,416,16,24,5,39,0
106,106,416,12,24,6,42,0
107,107,413,14,24,6,43,0
108,108,413,12,25,6,44,0
109,109,411,13,26,6,44,0
110,110,410,12,26,7,45,0
111,111,409,13,24,6,48,0
112,112,409,12,23,7,49,0
113,113,407,10,26,7,50,0
114,114,407,7,27,6,53,0
115,115,406,8,26,6,54,0
116,116,406,8,26,6,54,0
117,117,406,7,27,6,54,0
118,118,406,6,28,5,55,0
119,119,406,6,27,5,56,0
120,120,406,5,26,6,57,0
121,121,406,5,25,6,58,0
122,122,405,6,23,6,60,0
123,123,403,7,22,7,61,0
124,124,401,7,24,7,61,0
125,125,400,6,26,7,61,0
126,126,394,11,26,7,62,0
127,127,394,10,26,7,63,0
128,128,391,12,25,8,64,0
129,129,390,12,25,8,65,0
130,130,389,10,26,8,67,0
131,131,389,8,27,9,67,0
132,132,389,7,26,9,69,0
133,133,389,6,25,10,70,0
134,134,389,6,25,10,70,0
135,135,388,7,23,11,71,0
136,136,386,9,22,11,72,0
137,137,385,9,23,11,72,0
138,138,385,7,23,12,73,0
139,139,383,8,24,12,73,0
140,140,382,8,25,12,73,0
141,141,381,8,26,12,73,0
142,142,381,7,25,13,74,0
143,143,378,9,24,14,75,0
144,144,376,10,25,14,75,0
145,145,376,9,25,14,76,0
146,146,374,10,25,14,77,0
147,147,368,14,27,13,78,0
148,148,367,15,26,14,78,0
149,149,366,14,26,14,80,0
150,150,366,13,25,15,81,0
151,151,365,14,25,15,81,0
152,152,365,13,23,15,84,0
153,153,364,13,24,14,85,0
154,154,362,14,24,13,87,0
155,155,361,12,26,13,88,0
156,156,360,10,28,13,89,0
157,157,360,9,28,14,89,0
158,158,360,8,26,15,91,0
159,159,358,8,27,16,91,0
160,160,358,8,25,16,93,0
161,161,356,10,24,16,94,0
162,162,354,11,24,16,95,0
163,163,353,11,23,16,97,0
164,164,351,11,25,15,98,0
165,165,350,12,24,15,99,0
166,166,350,10,25,16,99,0
167,167,348,11,25,15,101,0
168,168,343,14,26,14,103,0
169,169,343,12,27,14,104,0
170,170,343,9,30,14,104,0
171,171,342,9,31,13,105,0
172,172,342,9,31,12,106,0
173,173,342,9,30,12,107,0
174,174,342,7,31,13,107,0
175,175,336,10,33,14,107,0
176,176,334,12,33,13,108,0
177,177,333,11,33,13,110,0
178,178,329,12,34,13,112,0
179,179,328,10,34,13,115,0
180,180,328,10,34,13,115,0
181,181,328,9,34,13,116,0
182,182,327,10,33,11,119,0
183,183,326,10,34,11,119,0
184,184,325,10,35,11,119,0
185,185,322,12,36,10,120,0
186,186,321,11,38,10,120,0
187,187,320,12,37,9,122,0
188,188,317,15,36,9,123,0
189,189,310,20,37,9,124,0
190,190,309,20,37,10,124,0
191,191,308,19,39,9,125,0
192,192,304,22,39,8,127,0
193,193,302,22,38,8,130,0
194,194,301,23,37,7,132,0
195,195,300,22,38,7,133,0
196,196,299,20,40,7,134,0
197,197,297,19,43,7,134,0
198,198,297,17,41,6,139,0
199,199,295,15,43,7,140,0
200,200,295,14,42,8,141,0
201,201,295,13,42,9,141,0
202,202,294,11,43,9,143,0
203,203,294,9,44,9,144,0
204,204,292,10,42,10,146,0
205,205,292,10,39,10,149,0
206,206,290,9,39,11,151,0
207,207,287,9,40,12,152,0
208,208,287,8,41,11,153,0
209,209,285,9,41,12,153,0
210,210,279,15,41,12,153,0
211,211,279,15,40,11,155,0
212,212,277,17,39,10,157,0
213,213,277,15,37,10,161,0
214,214,277,13,38,11,161,0
215,215,276,13,37,11,163,0
216,216,275,12,39,11,163,0
217,217,275,11,40,11,163,0
218,218,275,11,38,11,165,0
219,219,274,9,37,14,166,0
220,220,274,9,36,14,167,0
221,221,273,9,35,16,167,0
222,222,272,9,33,16,170,0
223,223,270,10,32,17,171,0
224,224,268,11,32,17,172,0
225,225,264,13,34,17,172,0
226,226,264,13,32,18,173,0
227,227,262,12,34,19,173,0
228,228,262,10,36,19,173,0
229,229,261,9,37,19,174,0
230,230,258,12,34,20,176,0
231,231,252,17,34,21,176,0
232,232,252,13,37,19,179,0
233,233,252,12,37,18,181,0
234,234,252,11,37,19,181,0
235,235,252,10,34,18,186,0
236,236,250,12,34,18,186,0
237,237,248,14,32,17,189,0
238,238,247,15,30,18,190,0
239,239,247,11,34,18,190,0
240,240,247,11,33,18,191,0
241,241,246,11,33,19,191,0
242,242,246,10,33,19,192,0
243,243,246,7,35,18,194,0
244,244,246,7,31,18,198,0
245,245,244,8,29,19,200,0
246,246,244,8,27,18,203,0
247,247,242,10,25,17,206,0
248,248,241,8,27,17,207,0
249,249,241,8,26,17,208,0
250,250,241,7,27,16,209,0
251,251,241,6,27,17,209,0
252,252,234,12,27,18,209,0
253,253,233,13,27,17,210,0
254,254,232,11,29,16,212,0
255,255,231,10,30,16,213,0
256,256,230,11,27,16,216,0
257,257,229,12,25,18,216,0
258,258,228,13,24,18,217,0
259,259,228,11,26,18,217,0
260,260,228,9,27,18,218,0
261,261,227,9,27,18,219,0
262,262,227,9,27,18,219,0
263,263,226,10,26,17,221,0
264,264,226,10,26,15,223,0
265,265,226,7,29,14,224,0
266,266,225,7,29,14,225,0
267,267,224,7,29,14,226,0
268,268,224,6,28,14,228,0
269,269,224,5,28,15,228,0
270,270,223,5,25,16,231,0
271,271,222,5,25,17,231,0
272,272,222,5,25,17,231,0
273,273,216,9,26,18,231,0
274,274,216,9,25,18,232,0
275,275,215,10,24,16,235,0
276,276,215,8,26,16,235,0
277,277,215,7,24,16,238,0
278,278,214,7,25,16,238,0
279,279,214,7,25,15,239,0
280,280,214,4,26,16,240,0
281,281,214,2,27,17,240,0
282,282,214,2,24,18,242,0
283,283,213,3,24,17,243,0
284,284,213,2,25,17,243,0
285,285,212,3,25,16,244,0
286,286,210,5,24,16,245,0
287,287,209,6,23,17,245,0
288,288,208,5,25,17,245,0
289,289,208,4,23,18,247,0
290,290,208,3,24,18,247,0
291,291,207,4,23,18,248,0
292,292,207,4,23,18,248,0
293,293,206,4,23,17,250,0
294,294,200,10,23,17,250,0
295,295,200,8,24,17,251,0
296,296,199,9,24,15,253,0
297,297,199,9,21,15,256,0
298,298,198,10,20,14,258,0
299,299,198,8,22,12,260,0
