"Cycle","Susceptible","FP","Exposed","Asympt","Symptoms","TP","Recovered","Dead","Superspreader Event","Persons Tested","Total TPs","Total FPs","Total TNs","Total FNs","Day","True Positive","False Positive","Total","New Infections","Cumulative Infections","%Cumulative Infections"
0,998.964321428571,0,0.0356785714285714,0.976190476190476,0,0,0.0238095238095238,0,0,1.11022302462516e-13,NA,NA,NA,NA,0.333333333333333,0,0,0,0.0356785714285714,1.03567857142857,0.00103567857142857
1,998.929493590835,0,0.0665421234511662,0.956912131519274,0,0,0.0470521541950113,0,0,1.11015697957213e-13,0,0,1.10911280160053e-13,1.11022302462516e-16,0.666666666666667,0,0,0,0.0348278377368805,1.07050640916545,0.00107050640916545
2,998.895354742586,0,0.0932874024270099,0.941522078612596,0,0,0.0698357763740417,0,0,1.11009690964265e-13,0,0,1.10907319042905e-13,1.08378914308646e-16,1,0,0,0,0.0341388482481955,1.10464525741365,0.00110464525741365
3,998.861766098632,0,0.116510779444736,0.929470153201011,0,0,0.0922529687219606,0,0,1.1100419215162e-13,0,0,1.10903452376169e-13,1.06238588095583e-16,1.33333333333333,0,0,0,0.0335886439540609,1.13823390136771,0.00113823390136771
4,998.828608520105,0,0.136722715811436,0.920285553618656,0,0,0.114383210464842,0,0,1.10999125030523e-13,0,0,1.10899662202633e-13,1.04529948986864e-16,1.66666666666667,0,0,0,0.033157578527226,1.17139147989493,0.00117139147989493
5,998.795779679428,0,0.154360143620716,0.913565405686149,0,0,0.136294771265286,0,0,1.10994424104418e-13,0,0,1.10895933114045e-13,1.03191916478563e-16,2,0,0,0,0.032828840677217,1.20422032057215,0.00120422032057215
6,998.763191634011,0,0.169797061968192,0.908964975476876,0,0,0.158046328543528,0,0,1.10990033284643e-13,0,0,1.10892251883333e-13,1.02172221085734e-16,2.33333333333333,0,0,0,0.0325880454164447,1.2368083659886,0.0012368083659886
7,998.730768749726,0,0.18335360603489,0.906189292469924,0,0,0.179688351769168,0,0,1.10985904534454e-13,0,0,1.10888607149854e-13,1.01426134789378e-16,2.66666666666667,0,0,0,0.0324228842853863,1.26923125027398,0.00126923125027398
8,998.698445923701,0,0.19530380916717,0.904985979827692,0,0,0.201264287304166,0,0,1.1098199670847e-13,0,0,1.10884989150019e-13,1.00915384435227e-16,3,0,0,0,0.0323228260250449,1.30155407629903,0.00130155407629903
9,998.666167063285,0,0.205882246341968,0.905139117834496,0,0,0.222811572538158,0,0,1.10978274559362e-13,0,0,1.10881389486753e-13,1.00607221716889e-16,3.33333333333333,0,0,0,0.0322788604155948,1.33383293671462,0.00133383293671462
10,998.633883784233,0,0.215289720245247,0.906463991606591,0,0,0.24436250391517,0,0,1.10974707887692e-13,0,0,1.10877800932185e-13,1.00473627176766e-16,3.66666666666667,0,0,0,0.0322832790523864,1.36611621576701,0.00136611621576701
11,998.601554296503,0,0.223698127948306,0.908802595643208,0,0,0.265944979905803,0,0,1.10971270814257e-13,0,0,1.10874217258781e-13,1.00490628910876e-16,4,0,0,0,0.0323294877303089,1.39844570349732,0.00139844570349732
12,998.569142450626,0,0.231254626275566,0.912019786153896,0,0,0.287583136944927,0,0,1.10967941157297e-13,0,0,1.1087063309481e-13,1.00637719447526e-16,4.33333333333333,0,0,0,0.0324118458770715,1.43085754937439,0.00143085754937439
13,998.536616921491,0,0.238085196934706,0.91599998781577,0,0,0.309297893758115,0,0,1.10964699899438e-13,0,0,1.10867043800645e-13,1.0089735665222e-16,4.66666666666667,0,0,0,0.0325255291342035,1.46338307850859,0.00146338307850859
14,998.503950509744,0,0.244297697911815,0.92064437506687,0,0,0.331107417277538,0,0,1.10961530731458e-13,0,0,1.10863445362888e-13,1.01254536550177e-16,5,0,0,0,0.0326664117476317,1.49604949025622,0.00149604949025622
15,998.471119543833,0,0.249984475166334,0.92586845955548,0,0,0.353027521445797,0,0,1.10958419661779e-13,0,0,1.10859834303755e-13,1.01696427702943e-16,5.33333333333333,0,0,0,0.0328309659113873,1.52888045616761,0.00152888045616761
16,998.438103368213,0,0.25522459799017,0.931600025219466,0,0,0.375072008578071,0,0,1.10955354682239e-13,0,0,1.1085620760351e-13,1.02212058269088e-16,5.66666666666667,0,0,0,0.0330161756200958,1.56189663178771,0.00156189663178771
17,998.404883905274,0,0.260085772263092,0.937777360903624,0,0,0.397252961559486,0,0,1.1095232548202e-13,0,0,1.10852562634082e-13,1.02792048157272e-16,6,0,0,0,0.0332194629384965,1.5951160947262,0.0015951160947262
18,998.371445280376,0,0.264625978020677,0.944347747641501,0,0,0.419580993961954,0,0,1.10949323202789e-13,0,0,1.10848897102246e-13,1.03428379774003e-16,6.33333333333333,0,0,0,0.0334386248979278,1.62855471962413,0.00162855471962413
19,998.337773500888,0,0.268894871061796,0.951266163906302,0,0,0.442065464143894,0,0,1.10946340229125e-13,0,0,1.10845209000984e-13,1.04114201804742e-16,6.66666666666667,0,0,0,0.0336717794878612,1.66222649911199,0.00166222649911199
